name_english,name_indonesian,sex,total,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 to 110
Aceh,Aceh,all,5274871,490875,485318,484921,476741,468799,451051,433329,400941,365100,317644,262190,211605,159714,115065,72841,44873,22896,8593,2077,298
Bali,Bali,all,4317404,297489,301013,327677,334377,336120,334363,329463,326279,331954,312066,285983,244573,192347,146484,99609,64568,34862,13971,3636,570
Banten,Banten,all,11904562,1043657,1045599,1002508,1009151,1048893,1041440,1033030,973263,901665,788065,650493,515924,369614,251054,116381,66963,32247,11552,2690,373
Bengkulu,Bengkulu,all,2010670,175561,173886,172247,172144,174783,171539,167798,158105,147546,130428,109946,89322,67304,47569,27355,15021,7090,2430,528,68
Special Region of Yogyakarta,Daerah Istimewa Yogyakarta,all,3668719,242264,249610,256883,262438,268954,269988,268400,266965,269444,259113,248626,221343,187954,147628,109508,73686,41954,18006,5079,876
Special Capital Region of Jakarta,Daerah Khusus Ibukota Jakarta,all,10562088,804069,814703,826519,840344,856365,869417,897464,877181,856615,771903,658076,535252,396196,277780,135717,81779,41801,16156,4116,635
Gorontalo,Gorontalo,all,1171681,96307,93157,105197,106580,106762,102172,94603,88221,83195,74403,64583,52889,39426,27963,18396,10673,5036,1707,366,45
Indonesia,Indonesia,all,270203917,22072497,22094355,22195880,22312590,22682370,22355975,21904549,20910927,19943111,18022497,15746392,13120852,10209493,7454011,4553918,2620732,1344982,512786,127066,18934
Jambi,Jambi,all,3548228,313535,312226,304473,302566,304715,300237,297271,281864,265491,234129,194619,156593,116202,81060,41957,24405,11718,4118,926,123
West Java,Jawa Barat,all,48274162,3914543,3853947,4036069,4075638,4119657,4057861,3980116,3793738,3611544,3245903,2807206,2314616,1765141,1268966,756585,388790,193360,71150,16931,2401
