country,country_long,age_group_num,age_group_charac,increased_risk,high_risk
AUS,Australia,,all ages,0.240408,0.044822
AUS,Australia,0,Under 5,0.021208,0.000010
AUS,Australia,5,5 to 9,0.030739,0.000135
AUS,Australia,10,10 to 14,0.030284,0.000254
AUS,Australia,15,15 to 19,0.039882,0.003358
AUS,Australia,20,20 to 24,0.061331,0.006090
AUS,Australia,25,25 to 29,0.086701,0.015176
AUS,Australia,30,30 to 34,0.113937,0.021029
AUS,Australia,35,35 to 39,0.142983,0.028925
AUS,Australia,40,40 to 44,0.184984,0.030818
AUS,Australia,45,45 to 49,0.228512,0.042433
AUS,Australia,50,50 to 54,0.284905,0.051886
AUS,Australia,55,55 to 59,0.371199,0.071768
AUS,Australia,60,60 to 64,0.466853,0.082540
AUS,Australia,65,65 to 69,0.568386,0.107822
AUS,Australia,70,70 to 74,0.662470,0.125420
AUS,Australia,75,75 to 79,0.741093,0.151195
AUS,Australia,80,80 to 84,0.790496,0.166509
AUS,Australia,85,85 to 89,0.823501,0.187088
AUS,Australia,90,90 to 94,0.842196,0.211384
AUS,Australia,95,95 plus,0.853060,0.242654
FJI,Fiji,,all ages,0.309311,0.070593
FJI,Fiji,0,Under 5,0.028993,0.000012
FJI,Fiji,5,5 to 9,0.041486,0.000169
FJI,Fiji,10,10 to 14,0.046291,0.000327
FJI,Fiji,15,15 to 19,0.085999,0.004700
FJI,Fiji,20,20 to 24,0.151090,0.009447
FJI,Fiji,25,25 to 29,0.224198,0.026108
FJI,Fiji,30,30 to 34,0.296333,0.039854
FJI,Fiji,35,35 to 39,0.380525,0.061733
FJI,Fiji,40,40 to 44,0.479233,0.074376
FJI,Fiji,45,45 to 49,0.574816,0.115011
FJI,Fiji,50,50 to 54,0.661414,0.152920
FJI,Fiji,55,55 to 59,0.726993,0.217540
FJI,Fiji,60,60 to 64,0.770317,0.248007
FJI,Fiji,65,65 to 69,0.803804,0.315042
FJI,Fiji,70,70 to 74,0.829158,0.351192
FJI,Fiji,75,75 to 79,0.848439,0.402902
FJI,Fiji,80,80 to 84,0.859338,0.416195
FJI,Fiji,85,85 to 89,0.862169,0.422516
FJI,Fiji,90,90 to 94,0.859870,0.407650
FJI,Fiji,95,95 plus,0.853602,0.391661
IDN,Indonesia,,all ages,0.221830,0.047139
IDN,Indonesia,0,Under 5,0.020725,0.000011
IDN,Indonesia,5,5 to 9,0.029543,0.000156
IDN,Indonesia,10,10 to 14,0.033077,0.000298
IDN,Indonesia,15,15 to 19,0.057241,0.004113
IDN,Indonesia,20,20 to 24,0.094006,0.007807
IDN,Indonesia,25,25 to 29,0.141408,0.020616
IDN,Indonesia,30,30 to 34,0.192395,0.030371
IDN,Indonesia,35,35 to 39,0.243884,0.044357
IDN,Indonesia,40,40 to 44,0.303982,0.049905
IDN,Indonesia,45,45 to 49,0.358385,0.072011
IDN,Indonesia,50,50 to 54,0.415679,0.090821
IDN,Indonesia,55,55 to 59,0.486420,0.126929
IDN,Indonesia,60,60 to 64,0.558870,0.145106
IDN,Indonesia,65,65 to 69,0.630847,0.185914
IDN,Indonesia,70,70 to 74,0.699703,0.212218
IDN,Indonesia,75,75 to 79,0.756759,0.250185
IDN,Indonesia,80,80 to 84,0.796504,0.268097
IDN,Indonesia,85,85 to 89,0.819391,0.283264
IDN,Indonesia,90,90 to 94,0.834728,0.291754
IDN,Indonesia,95,95 plus,0.847686,0.306267
PHL,Philippines,,all ages,0.205679,0.039336
PHL,Philippines,0,Under 5,0.026999,0.000012
PHL,Philippines,5,5 to 9,0.035375,0.000157
PHL,Philippines,10,10 to 14,0.039613,0.000302
PHL,Philippines,15,15 to 19,0.066112,0.004189
PHL,Philippines,20,20 to 24,0.105707,0.007972
PHL,Philippines,25,25 to 29,0.153061,0.020962
PHL,Philippines,30,30 to 34,0.201055,0.030593
PHL,Philippines,35,35 to 39,0.248847,0.044193
PHL,Philippines,40,40 to 44,0.306264,0.049235
PHL,Philippines,45,45 to 49,0.365339,0.071138
PHL,Philippines,50,50 to 54,0.430085,0.090026
PHL,Philippines,55,55 to 59,0.505180,0.124996
PHL,Philippines,60,60 to 64,0.578708,0.140214
PHL,Philippines,65,65 to 69,0.652013,0.176464
PHL,Philippines,70,70 to 74,0.719485,0.197801
PHL,Philippines,75,75 to 79,0.773249,0.228227
PHL,Philippines,80,80 to 84,0.809271,0.237859
PHL,Philippines,85,85 to 89,0.828503,0.242627
PHL,Philippines,90,90 to 94,0.841451,0.239821
PHL,Philippines,95,95 plus,0.849921,0.238863
PNG,Papua New Guinea,,all ages,0.237570,0.047372
PNG,Papua New Guinea,0,Under 5,0.034632,0.000013
PNG,Papua New Guinea,5,5 to 9,0.048055,0.000173
PNG,Papua New Guinea,10,10 to 14,0.053090,0.000334
PNG,Papua New Guinea,15,15 to 19,0.092089,0.004753
PNG,Papua New Guinea,20,20 to 24,0.156584,0.009427
PNG,Papua New Guinea,25,25 to 29,0.226712,0.025768
PNG,Papua New Guinea,30,30 to 34,0.294226,0.038998
PNG,Papua New Guinea,35,35 to 39,0.362672,0.059037
PNG,Papua New Guinea,40,40 to 44,0.436438,0.068793
PNG,Papua New Guinea,45,45 to 49,0.501689,0.102680
PNG,Papua New Guinea,50,50 to 54,0.565606,0.133712
PNG,Papua New Guinea,55,55 to 59,0.631491,0.191290
PNG,Papua New Guinea,60,60 to 64,0.686305,0.223104
PNG,Papua New Guinea,65,65 to 69,0.738149,0.292935
PNG,Papua New Guinea,70,70 to 74,0.780661,0.336911
PNG,Papua New Guinea,75,75 to 79,0.812016,0.391974
PNG,Papua New Guinea,80,80 to 84,0.829498,0.409392
PNG,Papua New Guinea,85,85 to 89,0.837045,0.420228
PNG,Papua New Guinea,90,90 to 94,0.841640,0.416776
PNG,Papua New Guinea,95,95 plus,0.843196,0.404086
SLB,Solomon Islands,,all ages,0.210408,0.034478
SLB,Solomon Islands,0,Under 5,0.032356,0.000011
SLB,Solomon Islands,5,5 to 9,0.045787,0.000156
SLB,Solomon Islands,10,10 to 14,0.051095,0.000301
SLB,Solomon Islands,15,15 to 19,0.086399,0.004244
SLB,Solomon Islands,20,20 to 24,0.145490,0.008364
SLB,Solomon Islands,25,25 to 29,0.211446,0.022702
SLB,Solomon Islands,30,30 to 34,0.275394,0.034014
SLB,Solomon Islands,35,35 to 39,0.342259,0.050870
SLB,Solomon Islands,40,40 to 44,0.415862,0.058405
SLB,Solomon Islands,45,45 to 49,0.481114,0.085614
SLB,Solomon Islands,50,50 to 54,0.543745,0.108702
SLB,Solomon Islands,55,55 to 59,0.608637,0.150525
SLB,Solomon Islands,60,60 to 64,0.664123,0.167922
SLB,Solomon Islands,65,65 to 69,0.716537,0.209425
SLB,Solomon Islands,70,70 to 74,0.762065,0.231322
SLB,Solomon Islands,75,75 to 79,0.797174,0.262962
SLB,Solomon Islands,80,80 to 84,0.818245,0.270604
SLB,Solomon Islands,85,85 to 89,0.829336,0.277180
