name_indonesian,urbanicity_percentage
Aceh,0.338879278
Sumatera Utara,0.55530702
Sumatera Barat,0.484591169
Riau,0.399631621
Jambi,0.338305423
Sumatera Selatan,0.377242692
Bengkulu,0.333213274
Lampung,0.328840612
Kepulauan Bangka Belitung,0.576493305
Kepulauan Riau,0.870548027
Daerah Khusus Ibukota Jakarta,1
Jawa Barat,0.774525882
Jawa Tengah,0.516942241
Daerah Istimewa Yogyakarta,0.730777246
Jawa Timur,0.549256605
Banten,0.724283779
Bali,0.668795288
Nusa Tenggara Barat,0.496325957
Nusa Tenggara Timur,0.259447321
Kalimantan Barat,0.364306086
Kalimantan Tengah,0.421973861
Kalimantan Selatan,0.484607181
Kalimantan Timur,0.685790626
Kalimantan Utara,0.63367342
Sulawesi Utara,0.537262981
Sulawesi Tengah,0.315103699
Sulawesi Selatan,0.445824929
Sulawesi Tenggara,0.375719604
Gorontalo,0.435212457
Sulawesi Barat,0.213925488
Maluku,0.370055805
Maluku Utara,0.272641279
Papua Barat,0.42766839
Papua,0.301989259
Indonesia,0.563954098
